iter	Logloss
0	0.6397984839
1	0.5992606326
2	0.5669551901
3	0.5409439841
4	0.5210553976
5	0.5046308492
6	0.49196616
7	0.4830037545
8	0.4752125028
9	0.4693349905
10	0.4638845284
11	0.459445072
12	0.456015932
13	0.4525566481
14	0.4497821466
15	0.4475143259
16	0.4457212028
17	0.4436932545
18	0.441822762
19	0.4403726265
20	0.438745909
21	0.4375350315
22	0.4365310778
23	0.4355614111
24	0.434667876
25	0.4338856449
26	0.4328327738
27	0.4321037015
28	0.4313543329
29	0.4307371667
30	0.4299321265
31	0.429290708
32	0.428389409
33	0.4276692851
34	0.4270808756
35	0.4266119663
36	0.4260660154
37	0.4256777985
38	0.4250874639
39	0.4240403014
40	0.4234346009
41	0.4227542966
42	0.4218326076
43	0.4212912735
44	0.4207595866
45	0.4201806718
46	0.4193500374
47	0.4188354355
48	0.4184184287
49	0.4178600598
50	0.4172493914
51	0.416347497
52	0.415713354
53	0.4151348439
54	0.4145596075
55	0.414240099
56	0.4138779144
57	0.4134168878
58	0.4129136771
59	0.4122896408
60	0.4115944221
61	0.4110910687
62	0.4107810323
63	0.4104412447
64	0.4098291732
65	0.409412139
66	0.4087309525
67	0.4078830045
68	0.4073644869
69	0.4070642067
70	0.4066842819
71	0.4063348226
72	0.4057225392
73	0.4053394499
74	0.4049151615
75	0.4044974723
76	0.4039871947
77	0.4036171454
78	0.4033846985
79	0.4030623065
80	0.4024434851
81	0.4020773917
82	0.4015151592
83	0.4011612501
84	0.4005137661
85	0.3998555369
86	0.3991937987
87	0.3988416497
88	0.3985074046
89	0.3977859433
90	0.3971673263
91	0.3966616313
92	0.3962182998
93	0.3957071606
94	0.3949739833
95	0.3943913537
96	0.3940853317
97	0.3936735967
98	0.3934366382
99	0.3927600398
100	0.3923811028
101	0.3920328066
102	0.3913530452
103	0.3908922663
104	0.3905230695
105	0.3901753281
106	0.3894651567
107	0.3891341308
108	0.388774584
109	0.3884027064
110	0.3879575628
111	0.3877263994
112	0.3870883113
113	0.38649112
114	0.3860089772
115	0.3855856872
116	0.3851410398
117	0.38468339
118	0.3843714336
119	0.3839742862
120	0.3837232771
121	0.3831987463
122	0.3826396016
123	0.3821752497
124	0.3816218972
125	0.3810092801
126	0.3803348729
127	0.3797413362
128	0.3791746363
129	0.3785737853
130	0.3781130871
131	0.3778296872
132	0.3773294747
133	0.3767534461
134	0.3762320533
135	0.3757896692
136	0.3753060111
137	0.3750351819
138	0.3747511871
139	0.3744625321
140	0.3739594523
141	0.3736473863
142	0.3732464221
143	0.372803091
144	0.372387863
145	0.371747428
146	0.3714793692
147	0.3711054624
148	0.3706225961
149	0.3701748752
150	0.3697070869
151	0.3693496263
152	0.3690831978
153	0.3686563248
154	0.368361996
155	0.3678263186
156	0.3675614683
157	0.3671276148
158	0.3668070906
159	0.3663071263
160	0.3658205915
161	0.3654674986
162	0.3651169633
163	0.3647805425
164	0.3645440003
165	0.3640045767
166	0.3635176636
167	0.3631655286
168	0.3627794885
169	0.3621543658
170	0.3619013365
171	0.3615023458
172	0.3611240912
173	0.3608025257
174	0.3604975375
175	0.3601543544
176	0.3595297448
177	0.3591924282
178	0.3587597471
179	0.358318448
180	0.3580224286
181	0.3577238379
182	0.3575338388
183	0.3570756119
184	0.3567418334
185	0.3564114109
186	0.3558396989
187	0.3555165733
188	0.3552105409
189	0.3547936145
190	0.3543079737
191	0.3539707466
192	0.3534863224
193	0.3530218688
194	0.3526640441
195	0.3524532605
196	0.3522041846
197	0.3517938469
198	0.3515055738
199	0.3509530659
200	0.3505927532
201	0.3499895613
202	0.3498445772
203	0.3495465916
204	0.3491045337
205	0.3488789644
206	0.3486227865
207	0.3478957033
208	0.3473732624
209	0.3471155638
210	0.3468798287
211	0.3465917127
212	0.3461357357
213	0.3458306522
214	0.3453576015
215	0.3450835694
216	0.344846934
217	0.3445741361
218	0.3441712662
219	0.3437685119
220	0.3434535056
221	0.3431185042
222	0.3429309531
223	0.3426104069
224	0.3422969217
225	0.3417781826
226	0.3415507268
227	0.3413192569
228	0.3409889722
229	0.3406856245
230	0.340214794
231	0.3397979406
232	0.3393482269
233	0.3388319195
234	0.3385944725
235	0.3381907734
236	0.3378175094
237	0.3372867634
238	0.3370235245
239	0.3364998604
240	0.3361033075
241	0.3358391704
242	0.3355943312
243	0.3351543728
244	0.3346757222
245	0.334425485
246	0.3340810184
247	0.3337884396
248	0.3334134908
249	0.3330660694
250	0.3327032777
251	0.3323767679
252	0.3320492834
253	0.3316181633
254	0.3310961187
255	0.3308588537
256	0.3306136843
257	0.3302485745
258	0.3299226337
259	0.329651744
260	0.3293507034
261	0.3290033984
262	0.3286314797
263	0.3282977788
264	0.3280405447
265	0.3278737923
266	0.3275567605
267	0.3272385877
268	0.3268762776
269	0.3267451787
270	0.3262786896
271	0.3260021818
272	0.3257909658
273	0.325489337
274	0.3251936224
275	0.3248645142
276	0.3246308809
277	0.324289295
278	0.3238400415
279	0.3235215066
280	0.322987627
281	0.3226680966
282	0.3223815836
283	0.3219978543
284	0.3217386851
285	0.3214340333
286	0.3208822021
287	0.3203852014
288	0.3199297878
289	0.3194420911
290	0.3193101059
291	0.3189602021
292	0.3186602201
293	0.3184932517
294	0.3180540232
295	0.3176731755
296	0.3173275137
297	0.3170525321
298	0.3166146891
299	0.3161530186
